1,2x4GB DDR3 Nature Valley,23.97,ram.jpg,1,2,161,5
2,2x8GB DDR3 KitKat,31.36,ram.jpg,1,1,199,3
3,2x8GB DDR4 Coffee Crisp,42.54,ram.jpg,1,10,64,3
4,Enterprise 4-Slot,83.29,motherboard.jpg,2,4,163,8
5,Nimitz 4-Slot,133.45,motherboard.jpg,2,9,129,8
6,Kitty Hawk 2-Slot,51.15,motherboard.jpg,2,5,85,3
7,ATD Senna ,522.41,gpu.jpg,3,6,1,6
8,GTZi Vettel,823.43,gpu.jpg,3,7,172,4
9,GTZ Clarkson,781.09,gpu.jpg,3,8,41,3
10,Quad-core 4.0GHz Socrates,691.23,cpu.jpg,4,2,238,1
11,Quad-core 3.5GHz Plato,472.3,cpu.jpg,4,2,74,2
12,Quad-core 4.0GHz Nietzsche,763.88,cpu.jpg,4,9,185,6
13,Hummingbird 120GB SSD,51.16,storage.jpg,5,6,6,6
14,Pelican 2TB HDD,82.23,storage.jpg,5,1,146,4
15,Falcon 500GB SSD,201.66,storage.jpg,5,7,19,7
16,Franklin 650W,83.2,psu.jpg,6,9,225,5
17,Faraday 450W,41.24,psu.jpg,6,4,211,6
18,Tesla 650W,100.94,psu.jpg,6,1,170,5
19,"Redeemer 24"" 1920x1080",333.42,display.jpg,7,3,183,4
20,"Liberty 27"" 2560x1440",403.88,display.jpg,7,2,173,6
21,"Rushmore 24"" 1920x1080",343.1,display.jpg,7,4,115,5
22,Changdao Cherry MX Red,110.27,keyboard.jpg,8,1,150,10
23,Claymore Cherry MX Brown,150.58,keyboard.jpg,8,7,73,7
24,Scimitar Cherry MX Red,131.9,keyboard.jpg,8,10,221,1
25,Rhino Optical Wired,60.61,mouse.jpg,9,8,159,4
26,Stag Optical Wired,21.32,mouse.jpg,9,7,206,10
27,Hercules Optical Wireless,51.97,mouse.jpg,9,8,4,5
28,XenoWare Gaming PC,2501.53,desktop.jpg,10,2,53,8
29,AZUZ Workstation PC,1402,desktop.jpg,10,3,133,9
30,Pewlett Hackard Tower PC,1503.13,desktop.jpg,10,10,216,7
31,Blasterman Speakers,32.61,accessory.jpg,11,6,45,1
32,Big Brother Webcam,23.21,accessory.jpg,11,8,56,1
33,NSA Headphones,52.29,accessory.jpg,11,7,98,4
