shelf_id,shelf_number,aisle_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,1,1
8,2,1
9,3,1
10,4,1
11,5,1
12,6,1
13,1,1
14,2,1
15,3,1
16,4,1
17,5,1
18,6,1
19,1,1
20,2,1
21,3,1
22,4,1
23,5,1
24,6,1
25,1,1
26,2,1
27,3,1
28,4,1
29,5,1
30,6,1
31,1,1
32,2,1
33,3,1
34,4,1
35,5,1
36,6,1
37,1,1
38,2,1
39,3,1
40,4,1
41,5,1
42,6,1
43,1,1
44,2,1
45,3,1
46,4,1
47,5,1
48,6,1
49,1,1
50,2,1
51,3,1
52,4,1
53,5,1
54,6,1
55,1,1
56,2,1
57,3,1
58,4,1
59,5,1
60,6,1
61,1,1
62,2,1
63,3,1
64,4,1
65,5,1
66,6,1
67,1,1
68,2,1
69,3,1
70,4,1
71,5,1
72,6,1
73,1,1
74,2,1
75,3,1
76,4,1
77,5,1
78,6,1
79,1,1
80,2,1
81,3,1
82,4,1
83,5,1
84,6,1
85,1,1
86,2,1
87,3,1
88,4,1
89,5,1
90,6,1
91,1,2
92,2,2
93,3,2
94,4,2
95,5,2
96,6,2
97,1,2
98,2,2
99,3,2
100,4,2
101,5,2
102,6,2
103,1,2
104,2,2
105,3,2
106,4,2
107,5,2
108,6,2
109,1,2
110,2,2
111,3,2
112,4,2
113,5,2
114,6,2
115,1,2
116,2,2
117,3,2
118,4,2
119,5,2
120,6,3
121,1,3
122,2,3
123,3,3
124,4,3
125,5,3
126,6,3
127,1,3
128,2,3
129,3,3
130,4,3
131,5,3
132,6,3
133,1,3
134,2,3
135,3,3
136,4,3
137,5,3
138,6,3
139,1,3
140,2,3
141,3,3
142,4,3
143,5,3
144,6,3
145,1,3
146,2,3
147,3,3
148,4,3
149,5,3
150,6,3
151,1,3
152,2,3
153,3,3
154,4,3
155,5,3
156,6,3
157,1,3
158,2,3
159,3,3
160,4,3
161,5,3
162,6,3
163,1,3
164,2,3
165,3,3
166,4,3
167,5,3
168,6,3
169,1,3
170,2,3
171,3,3
172,4,3
173,5,3
174,6,3
175,1,3
176,2,3
177,3,3
178,4,3
179,5,3
180,6,4
181,1,4
182,2,4
183,3,4
184,4,4
185,5,4
186,6,4
187,1,4
188,2,4
189,3,4
190,4,4
191,5,4
192,6,4
193,1,4
194,2,4
195,3,4
196,4,4
197,5,4
198,6,4
199,1,4
200,2,4
201,3,4
202,4,4
203,5,4
204,6,4
205,1,4
206,2,4
207,3,4
208,4,4
209,5,4
210,6,4
211,1,4
212,2,4
213,3,4
214,4,4
215,5,4
216,6,4
217,1,4
218,2,4
219,3,4
220,4,4
221,5,4
222,6,4
223,1,4
224,2,4
225,3,4
226,4,4
227,5,4
228,6,4
229,1,4
230,2,4
231,3,4
232,4,4
233,5,4
234,6,4
235,1,4
236,2,4
237,3,4
238,4,4
239,5,4
240,6,4
